FREQ,R-zero,L-zero,R-pos,L-pos
1.00E-01,1.65E-02,5.50E+00,1.62E-02,9.68E-01
1.58E-01,1.67E-02,5.36E+00,1.62E-02,9.68E-01
2.51E-01,1.69E-02,5.22E+00,1.62E-02,9.68E-01
3.98E-01,1.74E-02,5.09E+00,1.62E-02,9.68E-01
6.31E-01,1.81E-02,4.95E+00,1.62E-02,9.68E-01
1.00E+00,1.91E-02,4.81E+00,1.62E-02,9.68E-01
1.58E+00,2.09E-02,4.67E+00,1.62E-02,9.68E-01
2.51E+00,2.36E-02,4.54E+00,1.62E-02,9.68E-01
3.98E+00,2.79E-02,4.40E+00,1.62E-02,9.68E-01
6.31E+00,3.46E-02,4.26E+00,1.62E-02,9.68E-01
1.00E+01,4.53E-02,4.13E+00,1.62E-02,9.68E-01
1.58E+01,6.21E-02,3.99E+00,1.63E-02,9.68E-01
2.51E+01,8.87E-02,3.86E+00,1.64E-02,9.68E-01
3.98E+01,1.30E-01,3.72E+00,1.68E-02,9.68E-01
6.31E+01,1.96E-01,3.59E+00,1.75E-02,9.67E-01
1.00E+02,2.99E-01,3.45E+00,1.93E-02,9.66E-01
1.58E+02,4.60E-01,3.32E+00,2.27E-02,9.64E-01
2.51E+02,7.10E-01,3.19E+00,2.82E-02,9.61E-01
3.98E+02,1.09E+00,3.06E+00,3.51E-02,9.58E-01
6.31E+02,1.68E+00,2.93E+00,4.35E-02,9.56E-01
1.00E+03,2.57E+00,2.81E+00,5.44E-02,9.54E-01
1.58E+03,3.91E+00,2.69E+00,6.90E-02,9.52E-01
2.51E+03,5.91E+00,2.57E+00,8.93E-02,9.51E-01
3.98E+03,8.86E+00,2.46E+00,1.18E-01,9.50E-01
6.31E+03,1.32E+01,2.36E+00,1.62E-01,9.49E-01
1.00E+04,1.94E+01,2.27E+00,2.29E-01,9.48E-01
1.58E+04,2.81E+01,2.18E+00,3.35E-01,9.47E-01
2.51E+04,4.04E+01,2.10E+00,5.06E-01,9.46E-01
3.98E+04,5.71E+01,2.03E+00,7.81E-01,9.45E-01
6.31E+04,7.97E+01,1.96E+00,1.21E+00,9.44E-01
1.00E+05,1.10E+02,1.91E+00,1.88E+00,9.43E-01
1.58E+05,1.49E+02,1.86E+00,2.88E+00,9.42E-01
2.51E+05,2.00E+02,1.83E+00,4.32E+00,9.42E-01
3.98E+05,2.64E+02,1.80E+00,6.33E+00,9.41E-01
6.31E+05,3.47E+02,1.77E+00,9.05E+00,9.40E-01
1.00E+06,4.52E+02,1.75E+00,1.26E+01,9.39E-01
1.58E+06,5.84E+02,1.73E+00,1.73E+01,9.39E-01
2.51E+06,7.52E+02,1.72E+00,2.33E+01,9.38E-01
3.98E+06,9.63E+02,1.71E+00,3.09E+01,9.38E-01
6.31E+06,1.23E+03,1.70E+00,4.06E+01,9.38E-01
1.00E+07,1.56E+03,1.69E+00,5.29E+01,9.37E-01